Team,Pts,Opp Pts,Avg Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Season,Season Type,Match Count
Phoenix Suns,104.53,113.14,-8.61,99.28,105.12,113.87,-8.75,0.494,0.53,0.534,0.568,19,45,49.23,111.45,130.14,2017-2018,REG,64
Chicago Bulls,103.34,109.45,-6.11,97.31,104.96,111.26,-6.3,0.5,0.535,0.532,0.568,21,41,49.57,115.11,129.11,2017-2018,REG,62
Orlando Magic,105.79,109.95,-4.16,97.66,107.97,112.25,-4.28,0.524,0.528,0.557,0.562,20,43,47.69,117.81,127.95,2017-2018,REG,63
Cleveland Cavaliers,110.03,110.08,-0.05,97.4,112.59,112.72,-0.12,0.545,0.541,0.582,0.568,36,26,48.8,123.5,127.68,2017-2018,REG,62
Atlanta Hawks,103.64,108.18,-4.54,96.98,106.68,111.41,-4.73,0.512,0.539,0.55,0.571,19,44,48.33,114.38,126.08,2017-2018,REG,63
Sacramento Kings,99.13,107.14,-8.02,94.51,104.54,112.99,-8.45,0.506,0.549,0.532,0.582,19,44,47.91,108.19,125.48,2017-2018,REG,63
Brooklyn Nets,105.57,109.7,-4.13,98.12,106.54,110.95,-4.41,0.506,0.514,0.544,0.551,20,43,49.15,115.32,125.48,2017-2018,REG,63
Los Angeles Lakers,108.4,110.02,-1.61,99.67,107.5,108.93,-1.43,0.516,0.514,0.545,0.549,28,34,50.78,121.08,123.76,2017-2018,REG,62
Denver Nuggets,108.67,107.54,1.13,96.05,112.58,111.23,1.35,0.534,0.542,0.567,0.571,35,28,51.86,124.37,122.56,2017-2018,REG,63
Charlotte Hornets,106.56,106.73,-0.17,96.98,109.33,109.69,-0.36,0.503,0.531,0.542,0.564,28,35,51.11,117.3,122.44,2017-2018,REG,63
Los Angeles Clippers,108.9,107.79,1.12,98.13,110.79,109.46,1.34,0.528,0.515,0.566,0.554,33,28,50,122.33,122.31,2017-2018,REG,61
Dallas Mavericks,102.06,104.76,-2.7,94.66,107.29,110.28,-2.98,0.515,0.534,0.547,0.567,19,44,47.15,112.57,122.1,2017-2018,REG,63
New York Knicks,104.19,107.08,-2.89,96.13,107.5,110.48,-2.98,0.509,0.522,0.545,0.558,24,39,51.03,117.92,121.21,2017-2018,REG,63
New Orleans Pelicans,108.54,107.69,0.85,98.01,108.77,107.69,1.08,0.544,0.519,0.577,0.554,35,26,49.22,126.33,120.98,2017-2018,REG,61
Detroit Pistons,103.08,103.98,-0.91,95.57,107.5,108.77,-1.27,0.509,0.529,0.54,0.562,29,34,49.96,114.1,120.54,2017-2018,REG,63
Minnesota Timberwolves,109.74,107,2.74,95.38,114.33,111.6,2.73,0.526,0.542,0.569,0.574,38,28,50.18,125.73,119.79,2017-2018,REG,66
Milwaukee Bucks,104.71,105.26,-0.55,94.9,109.61,110.2,-0.59,0.528,0.522,0.569,0.563,33,29,48.26,118.89,118.02,2017-2018,REG,62
Indiana Pacers,106.73,105.19,1.53,95.79,111.04,109.34,1.7,0.532,0.527,0.564,0.556,35,27,49.67,121.92,117.79,2017-2018,REG,62
Houston Rockets,113.98,105.15,8.84,97.25,116.81,108,8.81,0.554,0.527,0.595,0.559,49,13,51.37,128.4,116.81,2017-2018,REG,62
Memphis Grizzlies,98.94,103.6,-4.66,93.79,105.31,110.3,-5,0.498,0.52,0.541,0.566,18,44,49.13,108.81,116.58,2017-2018,REG,62
Washington Wizards,107.14,105.51,1.64,96.39,110.42,108.83,1.6,0.525,0.517,0.561,0.556,36,27,50.12,122.65,116.37,2017-2018,REG,63
Oklahoma City Thunder,106.52,103.72,2.8,95.41,110.77,108.1,2.67,0.511,0.525,0.542,0.559,37,28,52,118.26,115.51,2017-2018,REG,65
Philadelphia 76ers,107.48,105.41,2.07,98.48,108.4,106.28,2.12,0.526,0.494,0.562,0.537,34,27,52.78,125.23,113.69,2017-2018,REG,61
Portland Trailblazers,105.19,103.37,1.83,95.78,109.28,107.53,1.76,0.511,0.503,0.549,0.539,37,26,51.16,116.54,113.68,2017-2018,REG,63
Miami Heat,101.4,101.95,-0.56,94.23,107.07,107.21,-0.14,0.518,0.508,0.549,0.549,33,30,50.35,114.13,113.38,2017-2018,REG,63
Toronto Raptors,112.07,103.39,8.67,97.08,114.85,105.96,8.89,0.539,0.499,0.576,0.54,44,17,50.29,130.02,112.79,2017-2018,REG,61
Utah Jazz,102.83,101.3,1.52,94.86,108.04,106.08,1.96,0.522,0.518,0.56,0.554,33,30,50.16,116.71,112.27,2017-2018,REG,63
Golden State Warriors,112.22,104.16,8.06,97.62,114.66,105.74,8.93,0.583,0.498,0.617,0.535,49,14,51.23,140.89,111.76,2017-2018,REG,63
San Antonio Spurs,102.38,99.43,2.95,94.27,108.6,105.49,3.11,0.51,0.507,0.546,0.537,36,27,51.16,119.1,110.41,2017-2018,REG,63
Boston Celtics,104.36,100.23,4.13,95.38,108.89,104.86,4.03,0.519,0.489,0.553,0.529,44,20,50.13,118.09,109.78,2017-2018,REG,64
Los Angeles Lakers,104.57,111.45,-6.88,98.01,106.56,113.57,-7.01,0.501,0.542,0.537,0.577,26,56,49.48,112.99,131.34,2016-2017,REG,82
Brooklyn Nets,105.77,112.5,-6.73,100.47,104.87,111.52,-6.65,0.507,0.513,0.551,0.552,20,62,48.21,114.5,130,2016-2017,REG,82
Denver Nuggets,111.72,111.21,0.51,97.59,114.04,113.63,0.41,0.53,0.532,0.568,0.567,40,42,53.2,127.81,126.76,2016-2017,REG,82
